taxon,aoo,eoo
"Chamaecrista coradinii",28,23490
"Chamaecrista coriacea",8,5
"Chamaecrista cotinifolia",168,1082559
"Chamaecrista curvifolia",448,3568841
"Chamaecrista cyclophylla",164,295282
"Chamaecrista cytisoides",468,1142667
"Chamaecrista dalbergiifolia",176,520515
"Chamaecrista debilis",400,824738
"Chamaecrista decora",128,167471
"Chamaecrista decumbens",124,36663
"Chamaecrista deltoidea",8,8
"Chamaecrista dentata",152,180983
"Chamaecrista duartei",176,118083
"Chamaecrista duckeana",324,575024
"Chamaecrista dumalis",40,4265218
"Chamaecrista ericifolia",8,8
"Chamaecrista exsudans",64,48823
"Chamaecrista feliciana",56,96363
"Chamaecrista filicifolia",252,1982775
"Chamaecrista fodinarum",28,32600
"Chamaecrista foederalis",72,130213
"Chamaecrista fulgida",12,60
"Chamaecrista fuscescens",8,8
"Chamaecrista geraldoi",8,8
"Chamaecrista gumminans",4,4
"Chamaecrista gymnothyrsa",12,346
"Chamaecrista hatschbachii",24,15029
"Chamaecrista hedysaroides",176,74083
"Chamaecrista incana",56,41753
"Chamaecrista incurvata",88,197018
"Chamaecrista isidorea",168,288977
"Chamaecrista itabiritoana",8,8
"Chamaecrista jacobinea",144,199334
"Chamaecrista juruenensis",128,1302672
"Chamaecrista lagotois",12,20
"Chamaecrista latifolia",100,230399
"Chamaecrista lavradiiflora",48,79100
"Chamaecrista lavradioides",12,175
"Chamaecrista lentiscifolia",4,4
"Chamaecrista leucopilis",12,3475
"Chamaecrista linearifolia",40,2252169
"Chamaecrista linearis",236,2168901
"Chamaecrista lundii",144,305771
"Chamaecrista macedoi",16,107
"Chamaecrista machaeriifolia",152,1070417
"Chamaecrista mucronata",480,4639870
"Chamaecrista multipennis",164,61177
"Chamaecrista neesiana",416,2052602
"Chamaecrista nuda",28,117
"Chamaecrista nummulariifolia",76,60789
"Chamaecrista ochnacea",312,893022
"Chamaecrista ochrosperma",32,355888
"Chamaecrista oligosperma",80,109061
"Chamaecrista onusta",60,117464
"Chamaecrista pachyclada",16,1747
"Chamaecrista paniculata",84,909997
"Chamaecrista pascuorum",468,2779709
"Chamaecrista phyllostachya",24,43845
"Chamaecrista pilicarpa",8,8
"Chamaecrista pilosa",140,2397876
"Chamaecrista planaltoana",144,123087
"Chamaecrista pohliana",168,472127
"Chamaecrista polita",108,397670
"Chamaecrista polymorpha",8,8
"Chamaecrista potentilla",176,101265
"Chamaecrista psoraleopsis",12,1315
"Chamaecrista punctata",116,46007
"Chamaecrista scabra",120,90443
"Chamaecrista scleroxylon",64,30892
"Chamaecrista secunda",84,50741
"Chamaecrista semaphora",80,1712783
"Chamaecrista setosa",524,3629030
"Chamaecrista simplifacta",20,244
"Chamaecrista spinulosa",20,139
"Chamaecrista stillifera",64,8698
"Chamaecrista strictifolia",24,759587
"Chamaecrista subpeltata",20,6462
"Chamaecrista swainsonii",260,555423
"Chamaecrista tephrosiifolia",28,8450
"Chamaecrista trachycarpa",60,2475557
"Chamaecrista tragacanthoides",176,154175
"Chamaecrista ulmea",28,278
"Chamaecrista unijuga",40,12605
"Chamaecrista urophyllidia",84,69905
"Chamaecrista vauthieri",16,3241433
"Chamaecrista venulosa",164,206730
"Chamaecrista virginis",4,4
"Chamaecrista xinguensis",64,648417
"Chloroleucon extortum",68,513556
"Chloroleucon tortum",168,134041
"Clitoria densiflora",88,8586824
"Clitoria epetiolata",32,231666
"Clitoria laurifolia",668,7178593
"Collaea speciosa",828,1922468
"Copaifera arenicola",192,642857
"Copaifera cearensis",20,152570
"Copaifera duckei",300,2373492
"Copaifera glycycarpa",60,577130
"Copaifera lucens",220,1231549
"Copaifera majorina",32,24505
"Copaifera piresii",84,1954195
"Copaifera sabulicola",176,191967
"Coursetia rostrata",404,406766
"Coursetia vicioides",20,57440
"Cratylia bahiensis",80,66513
"Cratylia intermedia",112,3578854
"Cratylia isopetala",108,752185
"Crotalaria goiasensis",36,23963
"Crotalaria irwinii",12,58
"Crotalaria nitens",104,10788001
"Crotalaria otoptera",56,2085827
"Crotalaria rufipila",96,3491309
"Crotalaria subdecurrens",84,840205
"Ctenodon bradei",12,192
"Ctenodon graminoides",28,1174
"Ctenodon lacabuendianus",4,4
"Ctenodon monteiroi",148,341820
"Ctenodon simplicifolius",8,8
"Cynometra duckei",52,60173
"Cynometra longifolia",8,8
"Cynometra macrocarpa",12,1057
"Cynometra marleneae",32,31531
"Cynometra stenopetala",28,895679
"Dahlstedtia bahiana",16,392
"Dahlstedtia castaneifolia",16,26289
"Dahlstedtia dehiscens",12,145
"Dahlstedtia floribunda",248,385295
"Dahlstedtia glaziovii",24,23225
"Dahlstedtia grandiflora",16,1728
"Dahlstedtia lewisiana",8,8
"Dahlstedtia muehlbergiana",444,1190269
"Dahlstedtia peckoltii",12,2770
"Dahlstedtia pentaphylla",1016,2926940
"Dahlstedtia pinnata",408,232905
"Dalbergia acuta",180,2501296
"Dalbergia cearensis",532,739734
"Dalbergia decipularis",148,963247
"Dalbergia elegans",144,382551
"Dalbergia ernest-ulei",12,200
"Dalbergia foliolosa",460,3859185
"Dalbergia glaucescens",120,1913662
"Dalbergia glaziovii",32,1465
"Dalbergia hortensis",4,4
"Dalbergia miscolobium",1568,4162951
"Dalbergia nigra",812,1009931
"Deguelia costata",220,328462
"Deguelia hatschbachii",64,102688
"Desmodium craspediferum",12,954
"Desmodium glabrescens",16,30
"Desmodium juruenense",28,3373584
"Desmodium procumbens",272,5118411
"Desmodium venosum",12,749003
"Dialium rondoniense",16,19824
"Dicymbe amazonica",4,4
"Dicymbe arenicola",32,764
"Dicymbe heteroxylon",8,8
"Dicymbe mollis",12,215
"Dicymbe puncticulosa",48,2452
"Dicymbe stipitata",8,8
"Dimorphandra campinarum",48,746617
"Dimorphandra caudata",52,1177565
"Dimorphandra coccinea",100,1458649
"Dimorphandra exaltata",188,206245
"Dimorphandra gigantea",8,8
"Dimorphandra jorgei",100,447079
"Dimorphandra mediocris",8,8
"Dimorphandra multiflora",36,288815
"Dimorphandra parviflora",128,2592717
"Dimorphandra unijuga",48,156764
"Dimorphandra urubuensis",16,56917
"Dimorphandra wilsonii",132,6764
"Dinizia jueirana-facao",16,14
"Dioclea burkartii",52,3480513
"Dioclea fimbriata",52,627742
